nan,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
2.000000,-0.043281,-0.043114,-0.043257,-0.042568,-0.042197,-0.041807,-0.041399,-0.040981,-0.040545,-0.040100,-0.039637,-0.039157,-0.038668,-0.038167,-0.037649,-0.037114,-0.036577,-0.036023,-0.035452,-0.034864,-0.034257,-0.033647,-0.033018,-0.032369,-0.031699,-0.031006,-0.030288,-0.029541,-0.028789,-0.028003,-0.027407,-0.026662,-0.025586,-0.024509,-0.022424,-0.021199,-0.019249,-0.014310,-0.011245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.777778,-0.043047,-0.043036,-0.042900,-0.041977,-0.041667,-0.041352,-0.041037,-0.040721,-0.040405,-0.040090,-0.039792,-0.039506,-0.039238,-0.039017,-0.038841,-0.038625,-0.038448,-0.038211,-0.037642,-0.036921,-0.036101,-0.035284,-0.034958,-0.033997,-0.033026,-0.032033,-0.031018,-0.029973,-0.028905,-0.027800,-0.026657,-0.025459,-0.024208,-0.022901,-0.020068,-0.018563,-0.017242,-0.013481,-0.011054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.555556,-0.042990,-0.042978,-0.042841,-0.041919,-0.041608,-0.041293,-0.040978,-0.040661,-0.040346,-0.040030,-0.039733,-0.039446,-0.039177,-0.038954,-0.038778,-0.038561,-0.038383,-0.038145,-0.037576,-0.036854,-0.036033,-0.035215,-0.034888,-0.033926,-0.032954,-0.031961,-0.030947,-0.029904,-0.028838,-0.027736,-0.026598,-0.025406,-0.024162,-0.022861,-0.020041,-0.018540,-0.017225,-0.013470,-0.011047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.333333,-0.042882,-0.042869,-0.042732,-0.041809,-0.041498,-0.041182,-0.040867,-0.040551,-0.040236,-0.039920,-0.039621,-0.039334,-0.039064,-0.038838,-0.038660,-0.038442,-0.038262,-0.038024,-0.037453,-0.036729,-0.035907,-0.035087,-0.034757,-0.033794,-0.032821,-0.031828,-0.030815,-0.029773,-0.028712,-0.027615,-0.026485,-0.025302,-0.024068,-0.022779,-0.019981,-0.018489,-0.017186,-0.013444,-0.011028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.111111,-0.042702,-0.042688,-0.042550,-0.041626,-0.041315,-0.041000,-0.040684,-0.040368,-0.040053,-0.039737,-0.039438,-0.039149,-0.038877,-0.038648,-0.038467,-0.038247,-0.038063,-0.037825,-0.037252,-0.036526,-0.035702,-0.034879,-0.034544,-0.033579,-0.032604,-0.031610,-0.030597,-0.029558,-0.028500,-0.027411,-0.026289,-0.025118,-0.023899,-0.022627,-0.019863,-0.018387,-0.017103,-0.013389,-0.010988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.888889,-0.042407,-0.042390,-0.042250,-0.041325,-0.041014,-0.040698,-0.040383,-0.040067,-0.039752,-0.039436,-0.039136,-0.038846,-0.038571,-0.038338,-0.038154,-0.037932,-0.037743,-0.037503,-0.036929,-0.036200,-0.035371,-0.034545,-0.034202,-0.033233,-0.032255,-0.031258,-0.030244,-0.029206,-0.028152,-0.027068,-0.025957,-0.024800,-0.023599,-0.022348,-0.019634,-0.018183,-0.016927,-0.013266,-0.010895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.666667,-0.041941,-0.041920,-0.041778,-0.040852,-0.040541,-0.040225,-0.039910,-0.039593,-0.039279,-0.038963,-0.038664,-0.038373,-0.038096,-0.037858,-0.037668,-0.037443,-0.037246,-0.037005,-0.036427,-0.035695,-0.034862,-0.034031,-0.033673,-0.032698,-0.031715,-0.030713,-0.029696,-0.028655,-0.027601,-0.026522,-0.025418,-0.024274,-0.023092,-0.021865,-0.019216,-0.017801,-0.016583,-0.013015,-0.010700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.444444,-0.041152,-0.041126,-0.040980,-0.040053,-0.039741,-0.039425,-0.039110,-0.038794,-0.038480,-0.038165,-0.037867,-0.037576,-0.037298,-0.037055,-0.036858,-0.036628,-0.036419,-0.036173,-0.035592,-0.034855,-0.034016,-0.033178,-0.032799,-0.031816,-0.030825,-0.029815,-0.028790,-0.027742,-0.026684,-0.025603,-0.024502,-0.023366,-0.022199,-0.020995,-0.018419,-0.017052,-0.015875,-0.012463,-0.010253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.222222,-0.040572,-0.040539,-0.040383,-0.039453,-0.039141,-0.038825,-0.038510,-0.038195,-0.037883,-0.037569,-0.037273,-0.036985,-0.036708,-0.036465,-0.036255,-0.036019,-0.035796,-0.035534,-0.034950,-0.034204,-0.033356,-0.032506,-0.032100,-0.031102,-0.030094,-0.029066,-0.028021,-0.026953,-0.025874,-0.024775,-0.023659,-0.022511,-0.021338,-0.020137,-0.017598,-0.016267,-0.015083,-0.011793,-0.009673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
