nan,44,40,36,32,28,24,20,16,12,8,4,0
2.000000,1.589550,1.588261,1.587388,1.586532,1.585663,1.584699,1.583456,1.581602,1.578646,1.569331,1.593212,1.561566
1.777778,1.588554,1.587264,1.586390,1.585533,1.584663,1.583698,1.582457,1.580613,1.577667,1.568335,1.592216,1.560591
1.555556,1.585466,1.584174,1.583297,1.582436,1.581561,1.580593,1.579359,1.577544,1.574632,1.565247,1.589129,1.557567
1.333333,1.579962,1.578665,1.577784,1.576917,1.576034,1.575059,1.573836,1.572066,1.569216,1.559754,1.583615,1.552167
1.111111,1.571390,1.570087,1.569199,1.568322,1.567427,1.566442,1.565228,1.563517,1.560765,1.551233,1.575010,1.543739
0.888889,1.558654,1.557343,1.556445,1.555555,1.554642,1.553639,1.552429,1.550782,1.548170,1.538629,1.562111,1.531112
0.666667,1.539162,1.537841,1.536928,1.536020,1.535083,1.534053,1.532834,1.531249,1.528830,1.519519,1.542502,1.511912
0.444444,1.509282,1.507944,1.507011,1.506075,1.505101,1.504021,1.502752,1.501167,1.498899,1.490031,1.511362,1.481503
0.222222,1.442815,1.441445,1.440461,1.439466,1.438438,1.437330,1.436091,1.434677,1.432906,1.426473,1.451234,1.422551
0.000000,1.370823,1.369188,1.368161,1.367044,1.365667,1.363833,1.361334,1.357988,1.353539,1.340722,1.355244,1.329547
