nan,2.000000,1.777778,1.555556,1.333333,1.111111,0.888889,0.666667,0.444444,0.222222
1,    0.0199260000,    0.0266940000,    0.0286530000,    0.0297700000,    0.0305090000,    0.0310030000,    0.0313360000,    0.0315510000,    0.0316720000
2,    0.0206040000,    0.0277470000,    0.0298050000,    0.0309630000,    0.0317350000,    0.0322490000,    0.0325960000,    0.0328200000,    0.0329460000
3,    0.0205780000,    0.0277750000,    0.0298310000,    0.0309820000,    0.0317550000,    0.0322690000,    0.0326170000,    0.0328410000,    0.0329670000
4,    0.0205550000,    0.0277730000,    0.0298360000,    0.0309840000,    0.0317570000,    0.0322710000,    0.0326180000,    0.0328420000,    0.0329680000
5,    0.0205440000,    0.0277700000,    0.0298400000,    0.0309850000,    0.0317570000,    0.0322710000,    0.0326190000,    0.0328430000,    0.0329690000
6,    0.0205390000,    0.0277630000,    0.0298430000,    0.0309880000,    0.0317580000,    0.0322720000,    0.0326190000,    0.0328430000,    0.0329690000
7,    0.0206480000,    0.0277740000,    0.0298460000,    0.0309900000,    0.0317590000,    0.0322720000,    0.0326200000,    0.0328440000,    0.0329690000
8,    0.0295400000,    0.0355280000,    0.0380740000,    0.0395100000,    0.0404090000,    0.0409820000,    0.0413560000,    0.0415920000,    0.0417230000
9,    0.0314840000,    0.0373030000,    0.0399510000,    0.0414670000,    0.0424090000,    0.0430030000,    0.0433870000,    0.0436270000,    0.0437600000
10,    0.0348310000,    0.0403280000,    0.0431250000,    0.0447670000,    0.0457890000,    0.0464290000,    0.0468390000,    0.0470940000,    0.0472330000
11,    0.0362890000,    0.0416550000,    0.0444970000,    0.0461880000,    0.0472460000,    0.0479110000,    0.0483360000,    0.0485990000,    0.0487440000
12,    0.0376700000,    0.0429010000,    0.0457690000,    0.0474970000,    0.0485870000,    0.0492750000,    0.0497160000,    0.0499890000,    0.0501390000
13,    0.0401860000,    0.0451930000,    0.0480820000,    0.0498600000,    0.0509980000,    0.0517260000,    0.0521960000,    0.0524880000,    0.0526490000
14,    0.0413550000,    0.0462630000,    0.0491500000,    0.0509410000,    0.0520950000,    0.0528380000,    0.0533200000,    0.0536210000,    0.0537870000
15,    0.0424790000,    0.0472890000,    0.0501700000,    0.0519680000,    0.0531340000,    0.0538880000,    0.0543800000,    0.0546890000,    0.0548590000
16,    0.0435570000,    0.0482770000,    0.0511460000,    0.0529480000,    0.0541210000,    0.0548830000,    0.0553830000,    0.0556980000,    0.0558720000
17,    0.0445910000,    0.0492280000,    0.0520840000,    0.0538850000,    0.0550620000,    0.0558300000,    0.0563360000,    0.0566550000,    0.0568320000
18,    0.0455840000,    0.0501440000,    0.0529860000,    0.0547840000,    0.0559620000,    0.0567340000,    0.0572430000,    0.0575660000,    0.0577450000
19,    0.0465380000,    0.0510280000,    0.0538550000,    0.0556490000,    0.0568260000,    0.0576000000,    0.0581110000,    0.0584350000,    0.0586160000
20,    0.0474550000,    0.0518810000,    0.0546940000,    0.0564820000,    0.0576570000,    0.0584300000,    0.0589420000,    0.0592680000,    0.0594490000
