nan,44,40,36,32,28,24,20,16,12,8,4,0
2.000000,-40.740363,-38.833692,-37.198897,-35.275345,-33.065509,-30.555869,-27.694350,-24.353452,-20.287528,-11.773635,0.000000,0.000000
1.777778,-40.725219,-38.818339,-37.183335,-35.259421,-33.048942,-30.538343,-27.676084,-24.336354,-20.275439,-11.770975,0.000000,0.000000
1.555556,-40.677270,-38.769766,-37.134144,-35.209155,-32.996759,-30.483260,-27.618641,-24.282083,-20.235961,-11.761353,0.000000,0.000000
1.333333,-40.587940,-38.679399,-37.042772,-35.116028,-32.900464,-30.382056,-27.513037,-24.180589,-20.158177,-11.738644,0.000000,0.000000
1.111111,-40.440275,-38.530278,-36.892306,-34.963186,-32.743252,-30.217817,-27.341654,-24.012374,-20.020581,-11.689355,0.000000,0.000000
0.888889,-40.198116,-38.286236,-36.646655,-34.714643,-32.489220,-29.954523,-27.067538,-23.737744,-19.779690,-11.581478,0.000000,0.000000
0.666667,-39.815574,-37.901299,-36.259977,-34.324713,-32.092758,-29.546271,-26.643267,-23.304814,-19.375512,-11.361641,0.000000,0.000000
0.444444,-39.171060,-37.253820,-35.610876,-33.672331,-31.433103,-28.872338,-25.947034,-22.587339,-18.670989,-10.892932,0.000000,0.000000
0.222222,-38.643259,-36.721033,-35.077450,-33.136266,-30.887878,-28.305464,-25.340092,-21.923278,-17.958299,-10.317974,0.000000,0.000000
0.000000,-38.528448,-36.602854,-34.959372,-33.017140,-30.763342,-28.166976,-25.174278,-21.714495,-17.699643,-10.066223,0.000000,0.000000
