nan,12,10,8,6,4,2,0
2.000000,0.000723,0.000722,0.000723,0.000723,0.000723,0.000723,0.000694
1.900000,0.000724,0.000724,0.000724,0.000724,0.000724,0.000724,0.000695
1.800000,0.000724,0.000724,0.000724,0.000724,0.000724,0.000724,0.000696
1.700000,0.000725,0.000724,0.000725,0.000725,0.000725,0.000725,0.000696
1.600000,0.000725,0.000725,0.000725,0.000725,0.000725,0.000725,0.000697
1.500000,0.000726,0.000726,0.000726,0.000726,0.000726,0.000726,0.000698
1.400000,0.000727,0.000727,0.000727,0.000727,0.000727,0.000727,0.000699
1.300000,0.000729,0.000729,0.000729,0.000729,0.000729,0.000729,0.000700
1.200000,0.000731,0.000731,0.000731,0.000731,0.000731,0.000731,0.000702
1.100000,0.000733,0.000733,0.000734,0.000734,0.000734,0.000733,0.000705
1.000000,0.000737,0.000736,0.000737,0.000737,0.000737,0.000737,0.000708
0.900000,0.000741,0.000740,0.000741,0.000741,0.000741,0.000741,0.000712
0.800000,0.000746,0.000746,0.000746,0.000746,0.000746,0.000746,0.000717
0.700000,0.000753,0.000752,0.000753,0.000753,0.000753,0.000753,0.000723
0.600000,0.000761,0.000761,0.000762,0.000762,0.000762,0.000762,0.000731
0.500000,0.000773,0.000773,0.000773,0.000773,0.000773,0.000773,0.000742
0.400000,0.000787,0.000787,0.000788,0.000788,0.000788,0.000788,0.000756
0.300000,0.000806,0.000805,0.000806,0.000806,0.000806,0.000806,0.000774
0.200000,0.000827,0.000827,0.000827,0.000827,0.000827,0.000827,0.000795
0.100000,0.000841,0.000841,0.000841,0.000841,0.000841,0.000841,0.000808
0.000000,0.000803,0.000803,0.000803,0.000803,0.000803,0.000803,0.000772
